#data counter step time
0 1 3 482
0 2 6 646
0 3 9 739
0 4 13 839
0 5 15 914
0 6 18 996
0 7 25 1108
1 8 31 1351
1 9 36 1492
1 10 38 1513
1 11 41 1596
1 12 43 1621
1 13 46 1703
1 14 48 1716
1 15 50 1726
1 16 56 2020
1 17 58 2081
1 18 66 2290
1 19 68 2291
1 20 72 2631
1 21 76 2692
1 22 78 2697
1 23 80 2806
1 24 84 3018
1 25 87 3145
1 26 90 3199
1 27 92 3218
1 28 94 3259
1 29 102 3474
1 30 104 3494
1 31 106 3549
1 32 110 3845
1 33 112 3846
1 34 117 4145
1 35 119 4284
1 36 121 4304
1 37 123 4345
1 38 126 4418
1 39 128 4510
1 40 130 4511
1 41 132 4614
1 42 137 4732
1 43 140 4841
1 44 142 4847
1 45 145 4931
1 46 147 4983
1 47 149 4992
