#data counter step time
0 1 3 482
0 2 6 646
21 3 9 739
41 4 13 839
96 5 15 914
0 6 18 996
70 7 25 1108
300 8 31 1351
431 9 36 1492
450 10 38 1513
491 11 41 1596
483 12 43 1621
523 13 46 1703
489 14 48 1716
420 15 50 1726
607 16 56 2020
645 17 58 2081
805 18 66 2290
713 19 68 2291
928 20 72 2631
801 21 76 2692
790 22 78 2697
790 23 80 2806
999 24 84 3018
1010 25 87 3145
1006 26 90 3199
1022 27 92 3218
1046 28 94 3259
1237 29 102 3474
1248 30 104 3494
1187 31 106 3549
1385 32 110 3845
1174 33 112 3846
1454 34 117 4145
1343 35 119 4284
1317 36 121 4304
1317 37 123 4345
1252 38 126 4418
1201 39 128 4510
1166 40 130 4511
1211 41 132 4614
1320 42 137 4732
1381 43 140 4841
1375 44 142 4847
1290 45 145 4931
1170 46 147 4983
1084 47 149 4992
