#data counter step time
0.000000 1 3 482
0.000000 2 6 646
21.000000 3 9 739
41.000000 4 13 839
96.000000 5 15 914
0.000000 6 18 996
70.000000 7 25 1108
300.000000 8 31 1351
431.000000 9 36 1492
450.000000 10 38 1513
491.000000 11 41 1596
483.000000 12 43 1621
523.000000 13 46 1703
489.000000 14 48 1716
420.000000 15 50 1726
607.000000 16 56 2020
645.000000 17 58 2081
805.000000 18 66 2290
713.000000 19 68 2291
928.000000 20 72 2631
801.000000 21 76 2692
790.000000 22 78 2697
790.000000 23 80 2806
999.000000 24 84 3018
1010.000000 25 87 3145
1006.000000 26 90 3199
1022.000000 27 92 3218
1046.000000 28 94 3259
1237.000000 29 102 3474
1248.000000 30 104 3494
1187.000000 31 106 3549
1385.000000 32 110 3845
1174.000000 33 112 3846
1454.000000 34 117 4145
1343.000000 35 119 4284
1317.000000 36 121 4304
1317.000000 37 123 4345
1252.000000 38 126 4418
1201.000000 39 128 4510
1166.000000 40 130 4511
1211.000000 41 132 4614
1320.000000 42 137 4732
1381.000000 43 140 4841
1375.000000 44 142 4847
1290.000000 45 145 4931
1170.000000 46 147 4983
1084.000000 47 149 4992
